Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-01-04,5952.83,6003.13,5952.83,6003.13,4094957
2010-01-05,6067.64,6077.93,6049.38,6049.38,5813169
2010-01-06,6015.19,6060.15,6015.19,6060.15,2460160
2010-01-07,6017.05,6017.05,5997.66,6017.02,3015981
2010-01-08,6086.95,6086.95,6015.96,6041.94,6311663
2010-01-11,6107.51,6128.7,6107.51,6128.06,4072608
2010-01-12,6108.7,6108.7,6071.54,6071.54,4369417
2010-01-13,6088.69,6112.58,6088.69,6112.58,4203395
2010-01-14,6125.02,6125.02,6093.39,6101.01,7034191
2010-01-15,6105.29,6105.29,6078.24,6078.24,7310340
2010-01-18,6088.35,6118.66,6088.35,6118.66,2118607
2010-01-19,6130.44,6233.57,6130.44,6233.57,9174412
2010-01-20,6264.05,6264.05,6250.03,6257.9,14077240
2010-01-21,6214.94,6239.19,6214.94,6235.02,6906345
2010-01-22,6112.14,6112.14,6070.43,6070.43,7933733
2010-01-25,6102.05,6102.05,6068.4,6076.36,9753792
2010-01-26,5929.95,5975.16,5929.95,5975.16,8778132
2010-01-27,5992.06,5993.7,5983.84,5983.84,7491690
2010-01-28,6067.05,6067.05,5982.43,5982.43,5664085
2010-01-29,5963.45,6012.89,5962.23,6012.89,5830494
2010-02-01,5973.02,5973.02,5950.41,5950.41,2681228
2010-02-02,5945.31,5965.05,5945.31,5949.92,4269645
2010-02-03,5997.88,5997.88,5963.46,5987.68,6104201
2010-02-04,5923.43,5923.43,5753.39,5753.39,7179064
2010-02-05,5552.03,5586.04,5506.56,5506.56,9379990
2010-02-08,5558.56,5558.56,5463.55,5463.55,6069840
2010-02-09,5574.66,5574.66,5517.68,5517.68,5295470
2010-02-10,5622.06,5622.06,5549.77,5549.77,6977644
2010-02-11,5514.46,5514.46,5440.9,5440.9,4013666
2010-02-12,5541.58,5585.82,5541.58,5585.82,6409587
2010-02-15,5689.92,5771.56,5689.92,5771.56,5626862
2010-02-16,5744.78,5744.78,5695.63,5695.63,4835831
2010-02-17,5764.53,5788.59,5764.53,5788.59,3732949
2010-02-18,5717.76,5717.76,5639.72,5649.8,5708206
2010-02-19,5635.94,5671.04,5596.14,5596.14,4508330
